@relation 'Fixed_with_TACC-weka.filters.unsupervised.attribute.Remove-R6,8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R4'

@attribute ﻿species {Hoki,Arrow_Squid,Jack_Mackerel,Southern_Blue_Whiting,Barracouta,Oreos,Ling,Orange_Roughy,Hake,Spiny_Dogfish}
@attribute year numeric
@attribute variable {TACC,Catch}
@attribute data_value numeric

@data
Hake,2011,TACC,13211.1
Hake,2012,TACC,13211.1
Hake,2013,TACC,13211.1
Hake,2014,TACC,13211.1
Hake,2015,TACC,13211.1
Hake,2016,TACC,13211.1
Hake,2017,TACC,13211.1
Ling,2009,Catch,13111.1
Orange_Roughy,2008,Catch,13110.4
Oreos,2012,Catch,13087.6
Ling,2012,Catch,12954.6
Ling,2010,Catch,12579.9
Orange_Roughy,2009,TACC,12532
Hake,2005,TACC,12366.5
Ling,2011,Catch,12336.7
Hake,2002,Catch,11813.4
Hake,2003,Catch,11580.6
Orange_Roughy,2009,Catch,11365.9
Oreos,2014,Catch,11250.7
Orange_Roughy,2010,TACC,11062
Oreos,2015,Catch,11058.8
Oreos,2013,Catch,10977.9
Hake,2007,Catch,10593.3
Hake,2018,TACC,10575.1
Hake,2009,Catch,10225.2
Hake,2006,Catch,9954.5
Orange_Roughy,2010,Catch,9206.5
Orange_Roughy,2018,TACC,8933
Oreos,2018,Catch,8783.2
Orange_Roughy,2015,TACC,8736
Orange_Roughy,2016,TACC,8736
Orange_Roughy,2017,TACC,8736
Hake,2015,Catch,8248.4
Orange_Roughy,2011,TACC,8221
Orange_Roughy,2015,Catch,8216.4
Oreos,2016,Catch,8111.1
Orange_Roughy,2018,Catch,8073.4
Oreos,2017,Catch,8019.6
Orange_Roughy,2014,TACC,7841
Orange_Roughy,2016,Catch,7811.1
Hake,2013,Catch,7689.8
Orange_Roughy,2017,Catch,7619.2
Orange_Roughy,2014,Catch,7215.3
Orange_Roughy,2012,TACC,6941
Orange_Roughy,2013,TACC,6941
Hake,2012,Catch,6567.8
Orange_Roughy,2011,Catch,6423.5
Hake,2017,Catch,6144.7
Hake,2008,Catch,5930.3
Hake,2011,Catch,5837.9
Orange_Roughy,2012,Catch,5837.9
Hake,2014,Catch,5692.7
Orange_Roughy,2013,Catch,5323.8
Hake,2016,Catch,4722.1
Hake,2010,Catch,4715.1
Hake,2018,Catch,4704
Spiny_Dogfish,2005,TACC,12660
Spiny_Dogfish,2006,TACC,12660
Spiny_Dogfish,2007,TACC,12660
Spiny_Dogfish,2008,TACC,12660
Spiny_Dogfish,2009,TACC,12660
Spiny_Dogfish,2010,TACC,12660
Spiny_Dogfish,2011,TACC,12660
Spiny_Dogfish,2012,TACC,12660
Spiny_Dogfish,2013,TACC,12660
Spiny_Dogfish,2014,TACC,12660
Spiny_Dogfish,2015,TACC,12660
Spiny_Dogfish,2016,TACC,12660
Spiny_Dogfish,2017,TACC,12660
Spiny_Dogfish,2018,TACC,12660
Spiny_Dogfish,2006,Catch,8313.2
Spiny_Dogfish,2005,Catch,7222
Spiny_Dogfish,2007,Catch,7183.9
Spiny_Dogfish,2018,Catch,6512.1
Spiny_Dogfish,2015,Catch,6318.4
Spiny_Dogfish,2008,Catch,6293.7
Spiny_Dogfish,2009,Catch,6219.7
Spiny_Dogfish,2010,Catch,6166.4
Spiny_Dogfish,2011,Catch,6076
Spiny_Dogfish,2017,Catch,6009.9
Spiny_Dogfish,2012,Catch,5879.5
Spiny_Dogfish,2014,Catch,5859.3
Spiny_Dogfish,2013,Catch,4965.1
Spiny_Dogfish,2016,Catch,4563.5
